id,brand
谷歌,1
Azumi,2
CMDC,3
小米盒子,4
E派,5
斐讯,6
PPTV,7
聆韵,8
E人E本,9
QEDIRS,10
英菲克,11
Lovme,12
松下,13
TCL,14
CHINA TELECOM,15
康柏,16
步步高,17
dolphin,18
艾优尼,19
DOOGEE,20
乡米,21
美图,22
魔盒,23
OTT,24
格力,25
Bluboo,26
欧亚信,27
QMobile,28
摩托罗拉,29
波导,30
亿通,31
忆典,32
天猫,33
华为,34
本为,35
全志,36
海思,37
小米,38
QMOBILE,39
RK2928SDK,40
金星数码,41
LAVA,42
奥洛斯,43
海信,44
CherryMobile,45
宏碁,46
联想,47
PANTECH,48
京瓷,49
imoo,50
锋影,51
爱我,52
努比亚,53
天敏,54
大显,55
唯比,56
MI,57
虾米,58
暴风,59
英特尔,60
中国移动,61
Bmobile,62
Cherry Mobile,63
世纪天元,64
Infinix,65
GENERIC,66
美格,67
Karbonn,68
欧沃,69
vivo,70
大麦盒子,71
西门子,72
蓝博兴,73
闻泰,74
乐视,75
智镁,76
米蓝,77
OPPO,78
语信,79
天宏时代,80
传奇,81
创维,82
鲜米,83
亚马逊,84
leimin,85
酷比,86
领英,87
Innjoo,88
德赛,89
爱派尔,90
锤子,91
赛博宇华,92
XOLO,93
富可视,94
唯米,95
Videocon,96
先锋,97
华硕,98
优购,99
青橙,100
欧奇,101
诺迅,102
ivvi,103
广信,104
贝尔丰,105
索尼,106
中兴,107
Intex,108
迪优美特,109
首云,110
白米,111
ZUK,112
DATC,113
安卓,114
安博,115
康佳,116
长虹,117
乐丰,118
纽曼,119
爱迪生,120
极米,121
夏普,122
普耐尔,123
LNV-LENOVO,124
SUGAR,125
Blackview,126
泰捷,127
康尔,128
LG,129
誉品,130
MTK,131
台电,132
昂达,133
飞利浦,134
百立丰,135
阿尔卡特,136
宇龙酷派,137
Blu,138
亿格瑞,139
瑞芯微,140
酷乐视,141
糯米,142
天语,143
ALPS,144
MOOKA,145
BAIDU,146
MBX,147
酷比魔方,148
奇酷,149
开博尔,150
LETV,151
LGE,152
bigsamsung,153
黑莓,154
小辣椒,155
蓝魔,156
QCOM,157
maxtron,158
魅族,159
HTC,160
碟米,161
优酷,162
西米,163
MICROMAX,164
诺亚信,165
酷派,166
L1E,167
拓百纳,168
一加,169
领歌,170
帷幄,171
酷珀,172
夏新,173
小天才,174
海尔,175
尼比鲁,176
Omate,177
Ipro,178
朵唯,179
Micromax,180
INTEX,181
魔百盒,182
索尼爱立信,183
SOFTWINNERS,184
BIGNOX,185
bignox,186
TCT,187
戴尔,188
欧博信,189
三星,190
YUSU,191
邦华,192
声丽,193
卡美欧,194
基伍,195
金立,196
德卡诺,197
Advan,198
海美迪,199
至尊宝,200
读书郎,201
其它,202
晨星,203
酷米,204
海派贵族,205
诺基亚,206
I-MOBILE,207
宇飞来,208
优米,209
ADVAN,210
维图,211
imobile,212
苹果,213
沃普丰,214
nexus,215
