Name,Lat,Lon,CityCode,YearPid
茂名,21.663290,110.925230,139,440900
南宁,22.816730,108.366900,261,450100
银川,38.486440,106.232480,360,640100
伊犁,43.916890,81.324160,654000,654000
湛江,21.271340,110.358940,198,440800
香港,22.275340,114.165460,810000,810000
三亚,18.252480,109.512090,121,460200
乌鲁木齐,43.826630,87.616880,92,650100
衡阳,26.893240,112.571950,430400,430400
汕头,23.353500,116.682210,303,440500
赣州,25.831090,114.934760,365,360700
漳州,24.513470,117.647250,255,350600
海口,20.044220,110.199890,125,460100
昆明,24.879660,102.833220,104,530100
柳州,24.325430,109.415520,305,450200
鄂尔多斯,40.9876914,116.2863004,283,150600
西安,34.341270,108.939840,610100,610100
南昌,28.682020,115.857940,163,360100
南充,30.837310,106.110730,291,511300
绵阳,31.467510,104.679600,240,510700
西宁,36.617290,101.777820,66,630100
洛阳,34.618120,112.453610,153,410300
咸阳,34.329320,108.709290,323,610400
连云港,34.596690,119.222950,347,320700
清远,23.682010,113.056150,197,441800
滁州,32.301810,118.316830,341100,341100
德州,37.435500,116.359270,372,371400
温州,27.994920,120.699390,178,330300
镇江,32.189590,119.425000,160,321100
新乡,35.303230,113.926750,410700,410700
桂林,25.273610,110.290020,142,450300
呼和浩特,40.841490,111.751990,321,150100
北京,39.904690,116.407170,131,110000
兰州,36.061380,103.834170,620100,620100
广州,23.129080,113.264360,257,440100
贵阳,26.647020,106.630240,146,520100
惠州,23.110750,114.416790,301,441300
金华,29.078120,119.647590,333,330700
唐山,39.630480,118.180580,265,130200
重庆,29.564710,106.550730,500000,500000
深圳,22.542860,114.059560,340,440300
武汉,30.592760,114.305250,218,420100
福州,26.074210,119.296470,300,350100
江门,22.578650,113.081610,302,440700
邯郸,36.625560,114.539180,151,130400
肇庆,23.046900,112.465280,338,441200
潍坊,36.706860,119.161760,370700,370700
长沙,28.227780,112.938860,430100,430100
德阳,31.126790,104.397900,510600,510600
郑州,34.747250,113.624930,268,410100
成都,30.570200,104.064760,75,510100
南阳,32.990730,112.528510,309,411300
徐州,34.204400,117.285770,316,320300
湖州,30.893050,120.088050,294,330500
南通,31.979580,120.893710,320600,320600
张家口,40.824440,114.887550,264,130700
厦门,24.479510,118.089480,194,350200
合肥,31.820570,117.229010,127,340100
扬州,32.393580,119.412690,346,321000
济宁,35.414590,116.587240,286,370800
大同,40.076370,113.300010,355,140200
珠海,22.270730,113.576680,440400,440400
佛山,23.021850,113.121920,138,440600
泰州,32.455460,119.925540,321200,321200
太原,37.870590,112.550670,176,140100
宁波,29.873860,121.550270,180,330200
南京,32.058380,118.796470,315,320100
盐城,33.349510,120.161640,223,320900
芜湖,31.352460,118.433130,340200,340200
廊坊,39.537750,116.683760,191,131000
哈尔滨,45.802160,126.535800,48,230100
中山,22.515950,113.392600,187,442000
常州,31.810720,119.973650,348,320400
保定,38.873960,115.464590,307,130600
台州,28.656110,121.420560,244,331000
沈阳,41.677180,123.463100,58,210100
泉州,24.873890,118.675870,134,350500
秦皇岛,39.935450,119.599640,148,130300
邢台,37.070550,114.504430,266,130500
大连,38.913690,121.614760,167,210200
杭州,30.274150,120.155150,179,330100
嘉兴,30.745010,120.755500,330400,330400
淮安,33.610160,119.015950,162,320800
青岛,36.066230,120.382990,236,370200
济南,36.651840,117.120090,288,370100
泰安,36.199940,117.088400,325,370900
烟台,37.463530,121.448010,326,370600
淄博,36.813100,118.054800,354,370300
上海,31.230370,121.473700,289,310000
宿迁,33.961930,118.275490,321300,321300
临沂,35.104650,118.356460,234,371300
韶关,24.810390,113.597230,137,440200
沧州,38.304410,116.838690,149,130900
绍兴,30.030330,120.580200,293,330600
天津,39.085100,117.199370,332,120000
无锡,31.490990,120.312370,317,320200
苏州,31.298340,120.583190,320500,320500
长春,43.816020,125.323570,53,220100
东莞,23.020670,113.751790,119,441900
石家庄,38.042760,114.514300,150,130100
乐山,29.552210,103.765390,79,0
黔东南,26.583640,107.984160,342,0
拉萨,29.644150,91.114500,100,0
菏泽,35.233630,115.481150,353,0
贵港,23.113060,109.597640,341,0
揭阳,23.549720,116.372710,259,0
潮州,23.656700,116.622960,201,0
遵义,27.725450,106.927230,262,0
遂宁,30.532860,105.592730,330,0
大理,25.606480,100.267640,111,0
延边,42.891190,129.509100,54,0
玉林,22.654510,110.180980,361,0
内江,29.580150,105.058440,248,0
鹤壁,35.747000,114.297450,215,0
周口,33.625830,114.696950,308,0
驻马店,33.011420,114.022990,269,0
辽阳,41.268090,123.237360,351,0
阜阳,32.889630,115.814950,128,0
衡水,37.738860,115.670540,208,0
宜宾,28.751300,104.641700,186,0
曲靖,25.490020,103.796250,249,0
上饶,28.454630,117.943570,364,0
安阳,36.097710,114.393100,267,0
包头,40.657810,109.840210,229,0
舟山,29.985390,122.207780,245,0
聊城,36.457020,115.985490,366,0
丽水,28.467200,119.922930,292,0
衢州,28.935920,118.874190,243,0
漯河,33.581490,114.016810,344,0
平顶山,33.766090,113.192410,213,0
玉溪,24.351800,102.547140,106,0
许昌,34.035700,113.852330,155,0
河源,23.743650,114.700650,200,0
安庆,30.542940,117.063540,130,0
宜春,27.814430,114.416120,278,0
保山,25.112050,99.161810,112,0
